0	50.48	2.40
1	47.98	2.40
2	53.46	2.40
3	49.59	2.40
4	50.81	2.40
5	49.82	2.40
6	55.49	2.40
7	59.38	2.40
8	53.64	2.40
9	57.34	2.40
10	55.46	2.40
11	62.27	2.40
12	65.77	2.40
13	61.33	2.40
14	61.32	2.40
15	55.12	2.40
16	59.27	2.40
17	68.29	2.40
18	60.75	2.40
19	64.48	2.40
20	67.89	2.40
21	64.70	2.40
22	69.31	2.40
23	72.03	2.40
24	73.83	2.40
25	81.23	2.40
26	68.01	2.40
27	69.19	2.40
28	69.85	2.40
29	82.59	2.40
30	80.79	2.40
31	75.73	2.40
32	73.04	2.40
33	84.62	2.40
34	78.70	2.40
35	89.05	2.40
36	79.30	2.40
37	80.63	2.40
38	81.80	2.40
39	90.22	2.40
40	83.90	2.40
41	87.90	2.40
42	86.86	2.40
43	91.65	2.40
44	96.72	2.40
45	93.28	2.40
46	97.71	2.40
47	89.31	2.40
48	91.57	2.40
49	96.40	2.40
